Process,Contribution,Unit
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.6676394835815616e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.6397699236997924e-09,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",3.277195619225697e-10,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.965469472602457e-10,CTUh
"smelting of copper concentrate, sulfide ore | copper, anode | Cutoff, U",1.2546381427258146e-10,CTUh
"zinc mine operation | copper concentrate, sulfide ore | Cutoff, U",3.9867134682249244e-11,CTUh
