Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error,Subsystem
"R84, R122, R131 > R134, R149, R150, R157, R158",1206,Passives,Resistors,kg,kg,0.00012856,"resistor production, surface-mounted",AUTO,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,23,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
R104,1206,Passives,Resistors,kg,kg,1.2856e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,24,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
R105,1206,Passives,Resistors,kg,kg,1.2856e-05,"resistor production, surface-mounted",AUTO,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",1,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,0.105,,25,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
"R143 > R148, R151 > R156,R167 > R178, R187 > R198,R207 > R212, R215 > R220, R231 > R236, R239 > R244, R253 > R258",1206,Passives,Resistors,kg,kg,0.000848496,"resistor production, surface-mounted",AUTO,GENERIC,R1206_33K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,66,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,Input,,,26,1,12,CALCULATED,0.002816,0.012856,3.5,MIN_MAX_AVG,,contactor_card
RV1,,Passives,Resistors,kg,kg,0.005948,"resistor production, wirewound, through-hole mounting",AUTO,EPCOS / TDK,B72220S0511K101 or S20K510,±10% 510VAC 1W SIOV Metal Oxide Varistor,1,0.005948,YES,,,,,,,,,EcoInvent,Input,,Mass data: https://www.tme.eu/en/details/b72220s0511k101/varistors-epcos-tdk/,27,1,12,DATASHEET_QTY_KG,,5.948,,MISSING,,contactor_card
"RL4, RL5",,Magnetic,Relay,kg,kg,0.07,"transformer production, low voltage use",AUTO,OMRON ELECTRONIC,G2RL-24-DC24,"8A@250VAC, DPDT Power Relay, G2RL Series",2,0.035,YES,,,,,,,,,EcoInvent,Input,,,30,1,15,DATASHEET_QTY_KG,,35.0,,MISSING,,contactor_card
"C1, C3",1206,Passives,Capacitors,kg,kg,0.000113152,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_100PF_50V_5%_NP0,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",3,2,3,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,,contactor_card
"C2, C6, C7",1206,Passives,Capacitors,kg,kg,0.000169728,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,,3,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",4,2,3,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,,contactor_card
"C4, C5",1206,Passives,Capacitors,kg,kg,0.000113152,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",5,2,3,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,,contactor_card
"C8, C9",1206,Passives,Capacitors,kg,kg,0.000113152,"capacitor production, for surface-mounting",MLCC,GENERIC,CC1206_10NF_50V_10%_X7R,,2,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",6,2,3,CALCULATED,0.008704,0.056576,6.5,MIN_MAX_AVG,,contactor_card
