Flow,Unit,Amount,Direction
"metal working, average for aluminium product manufacturing",kg,9.212,Input
"market for aluminium alloy, AlMg3",kg,9.212,previous input
"metal working, average for copper product manufacturing",kg,0.004,Input
"market for copper, cathode",kg,0.004,previous input
