Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
8,4,4,TVS,Discrete Semiconductors,Small signal,"D1, D2, D15",DO-214AA,SMBJ24A,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.000308811156,0.102937,0.308811,0.000308811156,mass-based,
9,5,5,Dual,Discrete Semiconductors,Small signal,"D3, D4, D7 > D14",SOT23-3,BAV199,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,8.2125e-05,0.008212,0.082125,8.2125e-05,mass-based,
10,6,6,Zener Diodes,Discrete Semiconductors,Small signal,D5,SOD-80C,BZV55-B10,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,1.874e-05,0.01874,0.01874,1.874e-05,mass-based,
11,7,7,Rectifier,Discrete Semiconductors,Small signal,D6,DO-214AC,ES1D,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.00012,0.12,0.12,0.00012,mass-based,
15,8,10,Interface,IC,Digital,IC1,SOIC16,AMC3330DWE,EcoInvent,"integrated circuit production, logic type",kg,Input,0.0001853125,0.185313,0.185313,0.0001853125,mass-based,
29,9,16,Precision Metal Foil Resistor,Passives,Resistors,"R199, R200 ",,Y6071020R000B9L,EcoInvent,"resistor production, metal film type, through-hole mounting",kg,Input,0.0028,1.4,2.8,0.0028,mass-based,
30,10,17,Zero Ohm Jumper,Passives,Resistors,"R202, R203",1206,R1206_0R_JUMPER ,EcoInvent,"resistor production, surface-mounted",kg,Input,3.8568e-05,0.012856,0.038568,3.8568e-05,mass-based,
31,11,18,Power management,IC,Analog,REG1,D2PAK,L7805ABD2T-TR,EcoInvent,"integrated circuit production, logic type",kg,Input,0.001566914694,1.566915,1.566915,0.001566914694,mass-based,
32,11,18,Power management,IC,Analog,"REG2,REG4",TO-220,LM7815CT,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00464357175,2.321786,4.643572,0.00464357175,mass-based,
33,11,18,Power management,IC,Analog,"REG3,REG5",TO-220,LM7915CT,EcoInvent,"integrated circuit production, logic type",kg,Input,0.00464357175,2.321786,4.643572,0.00464357175,mass-based,
34,12,19,MOSFET,Discrete Semiconductors,Power,T1,DPAK,STD10NF10T4,EcoInvent,"transistor production, surface-mounted",kg,Input,0.000332645,0.332645,0.332645,0.000332645,mass-based,
35,12,20,MOSFET,Discrete Semiconductors,Small signal,T2,SOT23-3,BSS119N,EcoInvent,"transistor production, surface-mounted",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
36,13,21,General purpose,Discrete Semiconductors,Power,T3,DPAK,MJD45H11,EcoInvent,"transistor production, surface-mounted",kg,Input,0.000332645,0.332645,0.332645,0.000332645,mass-based,
37,14,22,Bipolar transistor,Discrete Semiconductors,Small signal,T4,SOT23-3,MMBT3906L,EcoInvent,"transistor production, surface-mounted",kg,Input,8.2125e-06,0.008212,0.008212,8.2125e-06,mass-based,
39,15,24,Heatsink,Hardware,Thermal Management,HS1-HS6,,FK 242 SA 220 O,EcoInvent,"metal working, average for aluminium product manufacturing",kg,Input,0.005592,1.398,5.592,0.005592,mass-based,
39,15,24,Heatsink,Hardware,Thermal Management,HS1-HS6,,FK 242 SA 220 O,EcoInvent,"market for aluminium, wrought alloy",kg,previous input,0.005592,1.398,5.592,0.005592,mass-based,
41,16,26,Fuse,Passives,Protection,F2,,L080464,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.0025,2.5,2.5,0.0025,mass-based,
