Flow,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.00374,Input
"electronic component, passive, unspecified",kg,0.016948,Input
"electric connector production, wire clamp",kg,0.007854,Input
"mounting, surface mount technology, Pb-free solder",m2,0.028,Input
"mounting, through-hole technology, Pb-free solder",m2,0.028,Input
"capacitor production, electrolyte type, < 2cm height",kg,0.0038,Input
"capacitor production, for surface-mounting",kg,0.00056576,Input
