Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Database_component_title,Comments,Subsystem
C4b,,Passives,Capacitors,Film,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",1,kg,,NO,18,5,11,,1.3,1.4,0,0,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,fuse_card
F1-F3,,Passives,Protection,Fuse,MERSEN,W1014572,"Protistor® Cylindrical Fuse-Links, Size 10x38 gR 690VAC",3,kg,0.008,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,0.008-0.01,"It is a big estimation, the other alternative is more described but it doe not have the same technology.",fuse_card
FH1-FH3,,Electromechanical,Fuse holder,,KEYSTONE,3576,Fuse Holder for 10.3x38mm (5AG) Fuses,3,kg,,NO,,,,9.88,1.12,1.15,0.22,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,,Passive component (generic): https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,fuse_card
FHC1-FHC3,,Hardware,Enclosure,,KEYSTONE,3576C,Cover for Fuse Holder KEYSTONE 3576,3,kg,0.00359,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,"No more accurate component, it is considered generic",fuse_card
J1,,Electromechanical,Connectors,,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,fuse_card
J2,,Electromechanical,Connectors,,TYCO ELECTRONICS,350786-1,2 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00137,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Mass info: https://www.tme.com/in/en/details/350786-1/raster-signal-connectors-6-35mm/te-connectivity/,fuse_card
J3,,Electromechanical,Connectors,,CERN,EDA-02872-V1-3,"2 Circuits In-Line - Universal MATE-N-LOK with Central Wire Pin, 7 Poles, VDE  Metalok Bantam Circular Male Connector, Mounted On 15mm M3 Spacer",1,kg,0.0526,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,,"Although the dataset represents ICT connectors (e.g., USB ports), its material composition is comparable TO j3. Explanation as a special component the mass calculation",fuse_card
R1-R9,,Passives,Resistors,,Generic,RMF_68K_1%_0.6W_50PPM_1016-630X250,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,9,kg,,NO,,,,0.0285,3,4,0.01,0,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input,,The dataset explicitly represents THT.,fuse_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,100,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,It is all THT,fuse_card
PCB,,PCB,,,Panel of 2,EDA-05137-V1,"Panel of 2, 160x105 mm",1,m2,,YES,160,105,,,,,,,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices.",inverter_power_card
"IGBT_A1, A2, B1, B2",TO-247,Discrete Semiconductors,Power,IGBT,Infineon,IKW25N120H3,1200V 50A N-Channel Insulated Gate Bipolar Transistor IGBT,4,kg,0.00542,YES,,,,,,,,,EcoInvent,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,Infineon IKW40N120H3,"This dataset is IGBT-specific, based on direct inspection of a commercial device, ensuring high technological representativeness. The IGBT analyzed (1200V, 50A) is used in power applications (electric vehicles, inverters), so the technology matches perfectly.",inverter_power_card
"IC1, IC2",,IC,Analog,Power management,Infineon,2ED3141MC12L,Dual-Channel Isolated Gate Driver IC with Dead-Time Control,2,kg,,NO,10.3,7.5,2.35,,1.2,1.3,0.15,,EcoInvent,"integrated circuit production, logic type",kg,Input,0.35-0.4,"The Dual‑Channel Isolated Gate Driver IC is a mixed‑signal CMOS/BiCMOS integrated circuit. As no specific LCI exists for gate‑driver or mixed‑signal ICs,this dataset is selected.",inverter_power_card
IC3–IC6,,Module,DC/DC Converters,,Traco Power,TRV 1-2413M,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise (max) 100mVpk-pk,DC/DC Medical Converter",4,kg,0.0048,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,,"It is intentionally designed as a ""rough proxy"" for active components when no better data exists.  Generic active component dataset used with mass scaling. This introduces uncertainty but is the best available option. The automotive converter dataset was rejected due to extreme scale difference.",inverter_power_card
REG1,D2PAK,IC,Analog,Power management,STMicroelectronics,LD1086D2M33TR,3.3V 1.5A Low-Dropout Positive Voltage Regulator,1,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input,0.8-0.9,"This means its production process aligns with IC manufacturing. The dataset includes packaging, and that's what matters for the bill of materials and assembly impacts.",inverter_power_card
IC7,DIP6 SMD,Module,Hybrid relays,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.1-0.12,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component.",inverter_power_card
IC8,SOIC16,IC,Digital,Interface,Texas Instruments,AM26LV32IDR,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,0.2-0.25,"logic IC, the packaging technology (die attach, wire bonding) is relevant. The function matches.",inverter_power_card
F1,,Passive,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,"There is a big stimation, the other alternative is more described but it dit not the same technology.",inverter_power_card
D1–D4,SOD-80C,Discrete Semiconductors,Small signal,Zener Diodes,Nexperia,BZV55-B15,15V 500mW Voltage Regulator Diode,4,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.017,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),inverter_power_card
"D5, D6",SOD-80C,Discrete Semiconductors,Small signal,Zener Diodes,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,2,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.017,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),inverter_power_card
D7,DO-214AA,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.08-0.1,"""it is SMD"",",inverter_power_card
D8–D11,SOT23-3,Discrete Semiconductors,Small signal,TVS,Semtech,SM712.TCT,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,4,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.008-0.012,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),inverter_power_card
LD1,,Discrete Semiconductors,Optoelectronics,LED,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,kg,0.035,YES,,,,,,,,,EcoInvent,light emitting diode production,kg,Input,,"Only LED‑specific option in your list. However, important limitations from the description: Represents a 5mm through‑hole LED (your LD1 is SMD). Default weight assumption: 0.35 g per LED (much larger than your 0.059 g SMD). Technology based on : diode production, glass-, for through-hole mounting",inverter_power_card
T1,SOT23-3,Discrete Semiconductors,Small signal,Bipolar transistor,onsemi,MMBT3906LT1G,40V 200mA PNP General Purpose Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Specific for surface‑mounted transistors; matches SOT‑23 package.,inverter_power_card
T2–T7,SOT23-3,Discrete Semiconductors,Small signal,MOSFET,Infineon,BSS119N,"100V, 190mA, N-Channel SIPMOS® Small-Signal-Transistor",6,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Same as T1; BSS119N is also small‑signal MOSFET in SOT‑23.,inverter_power_card
"C1, C2",,Passives,Capacitors,MLCC,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,kg,,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
C9–C12,1206,Passives,Capacitors,Film,GENERIC,CC1206_1NF_50V_10%_X7R,,4,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",inverter_power_card
C15,,Passives,Capacitors,MLCC,WIMA,MKP4J043307F00MSSD,"3.3 µF, ±20%, 630VDC/280VAC, MKP4",1,kg,,NO,19,32,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
"C16, C17",,Passives,Capacitors,MLCC,WIMA,MKP4O141007E00MSSD,"1 µF, ±20%, 1000VDC/400VAC, MKP4",2,kg,,NO,17,29,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
"C20, C21",1206,Passives,Capacitors,Film,Generic,CC1206_220PF_50V_5%_NP0,"220 pF, ±5%, 50V, C0G/NP0, 1206",2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",inverter_power_card
C22–C25,E,Passives,Capacitors,Film,Generic,CTE7343-43_10UF_35V_10%_LESR0200E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",4,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,0.7,"Tantalum capacitors are electrolytic. The small size matches SMD tantalum chips. Not perfect, but the only electrolytic option available.",inverter_power_card
"C26, C44",,Passives,Capacitors,MLCC,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",2,kg,,NO,18,5,11,,1.3,1.4,0,0,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
"C3, C4",,Passives,Capacitors,MLCC,WIMA,FKP1U004704C00KSSD,"470 pF, ±10%, 2000VDC/700VAC, FKP1",2,kg,,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
C5–C8,,Passives,Capacitors,MLCC,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),4,kg,,NO,13,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
"C13, C14",,Passives,Capacitors,MLCC,WIMA,MKP4O141507G00MSSD,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),2,kg,,NO,20,39.5,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
C18,,Passives,Capacitors,MLCC,WIMA,MKP4F044706F00MSSD,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),1,kg,,NO,15,26,31.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
C19,,Passives,Capacitors,Tantalum,TDK,B32653A6224J000,±5% 630VDC/250VAC Metallized Polypropylene Film Capacitor (MKP),1,kg,,NO,7,16,26.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,inverter_power_card
"C27–C43, C45–C54",1206,Passives,Capacitors,Film,GENERIC,CC1206_100NF_50V_10%_X7R,,27,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT) – exactly what MLCCs are.",inverter_power_card
"R1–R4, R31, R35, R47, R48, R60",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",9,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
"R5–R9, R41, R44, R53, R56–R59",1206,Passives,Resistors,,Generic,R1206_47K_1%_0.25W_100PPM,"47 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",12,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
"R10, R11, R15–R30",1206,Passives,Resistors,,Generic,R1206_20R_1%_0.25W_100PPM,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",18,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
"R12, R49–R52",1206,Passives,Resistors,,Generic,R1206_10R_1%_0.25W_200PPM,"10 Ω, 1%, 0.25W, 200 ppm/°C, 1206",5,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
"R13, R14, R32, R36–R40, R42, R43",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
R33,1206,Passives,Resistors,,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
"R34, R45, R46, R54, R55",1206,Passives,Resistors,,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",5,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,The dataset explicitly represents surface‑mounted resistors.,inverter_power_card
J1,,Electromechanical,Connectors,,Wieland,25.161.0353.0,"16A 250VAC 3 Way PCB Terminal Block, Pitch 5mm, Screw Connection, Wire Size Max: 2.5mm²",1,kg,,NO,16.09,10.16,12,,1.12,1.18,0.2,0,EcoInvent,"electric connector production, wire clamp",kg,Input,,Exact technological match: “wire clamp” directly describes the screw‑clamp connection.,inverter_power_card
J2,,Electromechanical,Connectors,,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function.,inverter_power_card
J3,,Electromechanical,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,40.74,8.6,17.4,,1.3,1.34,1,0,EcoInvent,"electric connector production, peripheral component interconnect buss",kg,Input,,"Best available proxy for a PCB‑mounted pin header; PCI connector is a pin‑based PCB connector, though not identical.",inverter_power_card
B8-B32,,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),25,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,Chossen passive generic because it includes thins kind of components and there is not another alternative.,inverter_power_card
TR1,,Magnetics,Current sensing,,CERN,HCR6BFW,HF Current transformer,1,kg,0.0095,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input,,"The HCR6BFW is a high‑frequency current transformer, which falls under ""low voltage use"" .",inverter_power_card
J3 screws,,Hardware,Mounting hardware,,3M,3341-5,"#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel",2,kg,,NO,,,,0.0805,7.8,7.9,0,0,EcoInvent,"market for steel, low-alloyed + metal working, average for metal product manufacturing",kg,Input,,"This combination represents the two required stages for metal-component LCAs: (1) stainless‑steel material production, and (2) forming/working processes needed to shape hardware like screws. Combination of coth, create a process and then give the data quality parameters to the combination",inverter_power_card
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,160,105,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,,inverter_power_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,160,105,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,,inverter_power_card
PCB,,PCB,,,Panel of 1,EDA-05282-V1,4Q Output Control Card [25A 100V] Printed Circuit Board (Bare),1,m2,,YES,205,110,,,,,,,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,,Bare board,Q_output_control_card
"C1, C4, C8, C12,C15, C16, C23 > C26,C36, C37, C41, C43, C44",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,15,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",Q_output_control_card
"C2,C14",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1UF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",Q_output_control_card
"C3, C6, C7, C10, C13,C17, C18, C21, C22,C33 > C35, C38 > C40,C42, C45",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,17,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",Q_output_control_card
C5,1206,Passives,Capacitors,MLCC,GENERIC,CC1206_10NF_50V_10%_X7R,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,1,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",Q_output_control_card
"C9, C11, C19, C20,C31, C32",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100PF_50V_5%_NP0,±5% 50V C0G/NP0 SMD Multilayer Chip Ceramic Capacitor,6,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are.",Q_output_control_card
C27 > C30,E,Passives,Capacitors,Tantalum,GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,4,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input,,MASS DATA FROM CASING.,Q_output_control_card
"D1, D2, D15",DO-214AA,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,3,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.08-0.1,it is SMD,Q_output_control_card
"D3, D4, D7 > D14",SOT23-3,Discrete Semiconductors,Small signal,Dual,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,10,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,MASS FROM CASING.,Q_output_control_card
D5,SOD-80C,Discrete Semiconductors,Small signal,Zener Diodes,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,1,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.017,perfectly describes glass SMD diodes (SOD-80C) and TVS in SOT-23 (also SMD),Q_output_control_card
D6,DO-214AC,Discrete Semiconductors,Small signal,Rectifier,FAIRCHILD SEMICONDUCTOR,ES1D,200V 1A Fast Rectifier,1,kg,0.00012,YES,,,,,,,,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,,SMD diode. Mass info: https://www.mouser.ch/ProductDetail/onsemi/ES1D?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D,Q_output_control_card
F1,,Passives,Protection,,MERSEN/FERRAZ SHAWMUT,G076458,"6.3x46mm Cylindrical Very Fast Acting Ceramic Sand Filled Fuse, FA HRC Series",1,kg,0.0025,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,"Mass from datasheet, aproximated as passive",Q_output_control_card
"F3,F4",,Passive,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,2,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,As passive,Q_output_control_card
"FH1, FH3",,Electromechanical,Fuse holder,,BUSSMANN,1A1907-06-R,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",2,kg,0.00074,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,MASS INFO: https://www.mouser.ch/ProductDetail/Eaton-Electronics/BK-1A1907-06-R?qs=jGANiKWBgcjqTqTdin90Fg%3D%3D,Q_output_control_card
IC1,SOIC16,IC,Digital,Interface,Texas Instruments,AMC3330DWE,"Precision, ±1V Input, Reinforced Isolated Amplifier with Integrated DC/DC Converter",1,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input,0.2-0.25,"logic IC, MASS INFO FROM CASING.",Q_output_control_card
"IC2, IC3",DIP6 SMD,Module,Hybrid relays,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",2,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. TO GENERIC DATABASE.,Q_output_control_card
IC4,,Module,DC/DC Converters,,TRACO POWER,TEN 6-2415N,"18-36VDC to 24VDC, Iout (max) 250mA, 6W DC-DC Converter",1,kg,0.0127,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,,"Mass from datasheet, aproximated as active",Q_output_control_card
"IC5, IC6",TO-92,IC,Analog,,DALLAS MAXIM,DS18B20,Programmable Resolution 1-Wire Digital Thermometer (-55°C to +125°C),2,kg,0.000214,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,As integrated circuit. Mass info: https://www.mouser.ch/ProductDetail/Traco-Power/DS18B20%2B?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D,Q_output_control_card
"IC7, IC8",SOIC8,IC,Analog,,TEXAS INSTRUMENTS,INA141U,"Precision, Low Power, G = 10, 100 Instrumentation Amplifier",2,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,,,Q_output_control_card
"J1,J3",,Electromechanical,Connectors,,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connetor",2,kg,0.00078,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/",Q_output_control_card
J2,,Electromechanical,Connectors,,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,Q_output_control_card
J4,,Electromechanical,Connectors,,3M,N3429-6302RB,"26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",1,kg,,NO,52.4,8.6,27.2,,1.3,1.5,3,,EcoInvent,"electric connector production, wire clamp",kg,Input,,dIVERSE VALUE OF MASS SO CALCULATED,Q_output_control_card
"J5,J6",,Electromechanical,Connectors,,3M,N3428-6302RB,"20 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series",2,kg,,NO,44.83,8.6,27.2,,1.5,1.5,2.5,,EcoInvent,"electric connector production, wire clamp",kg,Input,,dIVERSE VALUE OF MASS SO CALCULATED,Q_output_control_card
