Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Casing,Part_Number,Database,Database_component_title,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
1,1,1,AUTO,PCB,,PCB,,EDA-05281-V1,EcoInvent,,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,0.02475,,,,area-based,
2,1,2,AUTO,Electromechanical,Connectors,"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",,7460305,EcoInvent,,"Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input,0.016,4.0,16.0,0.016,mass-based,
3,2,3,Paper,Passives,Capacitors,C1-C6,,P272HE102M300A or PME271YA4100MR30,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.0031984875,0.533081,3.198487,0.0031984875,mass-based,
4,2,3,Paper,Passives,Capacitors,"C7, C8, C20, C21",,P272QE103M300A or PME271YB5100MR30,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.00818181,1.363635,8.18181,0.00818181,mass-based,
5,2,3,Paper,Passives,Capacitors,"C9, C10",,P272SJ473M300A or PME271YD5470MR30,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.0297432,4.9572,29.7432,0.0297432,mass-based,
6,3,4,Film,Passives,Capacitors,"C11, C12, C16, C17",,MKP4F052207H00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.2447172,61.1793,244.7172,0.2447172,mass-based,
7,3,4,Film,Passives,Capacitors,C13,,MKX2AW41006D00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.0611793,61.1793,61.1793,0.0611793,mass-based,
8,4,5,Zener,Discrete Semiconductors,Small signal,"D1, D2",DO-35,BZX55C12,EcoInvent,,"diode production, glass-, for through-hole mounting",kg,Input,0.00025,0.125,0.25,0.00025,mass-based,
