Flow,Unit,Amount,Direction
"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,0.01,Input
"capacitor production, film type, for through-hole mounting",kg,0.066897225,Input
"electronic component, passive, unspecified",kg,0.03477,Input
"electric connector production, peripheral type buss",kg,0.0869014,Input
"electric connector production, wire clamp",kg,0.00456,Input
"resistor production, surface-mounted",kg,0.00098775,Input
"mounting, through-hole technology, Pb-free solder",m2,0.01,Input
