Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
Texas Instruments,AMC3330DWE,"4Q_output_control_card, 4Q_power_card",SOIC16,"Precision, ±1V Input, Reinforced Isolated Amplifier with Integrated DC/DC Converter",IC,Digital,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input
TEXAS INSTRUMENTS,INA141U,4Q_output_control_card,SOIC8,"Precision, Low Power, G = 10, 100 Instrumentation Amplifier",IC,Analog,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input
TRACO POWER,TEN 6-2415N,4Q_output_control_card,,"18-36VDC to 24VDC, Iout (max) 250mA, 6W DC-DC Converter",Modules,DC/DC Converters,kg,0.0127,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
Traco Power,TRV 1-2413M,"4Q_power_card, inverter_power_card",,"19.2-28.8VDC to +15VDC/±67mA, Ripple and Noise (max) 100mVpk-pk,DC/DC Medical Converter",Modules,DC/DC Converters,kg,0.0048,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input
TYCO ELECTRONICS,1-770166-0,"4Q_output_control_card, 4Q_power_card",,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connetor",Electromechanical,Connectors,kg,0.00078,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
TYCO ELECTRONICS,350786-1,"filter_card, fuse_card",,2 Circuits In-Line - Universal MATE-N-LOK Connector,Passives,Electromechanical,kg,0.00137,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
TYCO ELECTRONICS,350789-1,filter_card,,3 Circuits In-Line - Universal MATE-N-LOK Connector,Electromechanical,Connectors,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
TYCO ELECTRONICS,640900-1,"4Q_output_control_card, contactor_card, fuse_card",,5 Circuits In-Line - Universal MATE-N-LOK Connector,Electromechanical,Connectors,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
VERO TECHNOLOGIES,20-2136,"4Q_output_control_card, 4Q_power_card, contactor_card, filter_card, inverter_power_card",,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),Passives,Test PIN,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
VISHAY,VS-45EPS16L-M3,"4Q_power_card, contactor_card",TO-247-2,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input
VISHAY BCCOMPONENTS,MAL205253471E3,4Q_power_card,,+30% -10% 250V Radial Aluminum Capacitor Power Eurodin Printed Wiring(052 PED-PW Series),Passives,Capacitors,kg,0.066,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, > 2cm height",kg,Input
VISHAY BCCOMPONENTS,MAL213668101E3,fan_supervision_card,,±20% 63V Low ESR 0R190 Aluminum Electrolytic Capacitor,Passives,Capacitors,kg,0.0019,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
VISHAY FOIL RESISTOR,Y6071020R000B9L,4Q_output_control_card,,"±0.1% 0.3W ±2ppm/°C Hermetically Sealed, Ultra-High Precision Z-Foil Technology Resistor- HZ Series",Passives,Resistors,kg,0.0014,YES,,,,,,,,,EcoInvent,"resistor production, metal film type, through-hole mounting",kg,Input
VISHAY GENERAL SEMICONDUCTOR,BZX55C12,4Q_output_power_card,DO-35,12V 500mW Voltage Regulator Diode,Discrete Semiconductors,Small signal,kg,0.000125,YES,,,,,,,,,EcoInvent,"diode production, glass-, for through-hole mounting",kg,Input
WAGO,236-402,fan_supervision_card,,"16A 250VAC Grey 2 Way PCB Terminal Block, Pitch 5mm, CAGE CLAMP® Connection,Wire Size Max: 2.5mm²",Electromechanical,Connectors,kg,0.001902,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input
Wieland,25.161.0353.0,inverter_power_card,,"16A 250VAC 3 Way PCB Terminal Block, Pitch 5mm, Screw Connection, Wire Size Max: 2.5mm²",Electromechanical,Connectors,kg,,NO,16.09,10.16,12,,1.12,1.18,0.2,,EcoInvent,"electric connector production, wire clamp",kg,Input
WIMA,DCP4L055007JD4KSSD,filter_card,,±10% 800VDC Metallized Polypropylene Capacitor (MKP4) For DC-Link Applications,Passives,Capacitors,kg,,NO,35,41.5,50,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,FKP1U004704C00KSSD,inverter_power_card,,"470 pF, ±10%, 2000VDC/700VAC, FKP1",Passives,Capacitors,kg,,NO,18,6,12.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKP4F044706F00MSSD,inverter_power_card,,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),Passives,Capacitors,kg,,NO,15,26,31.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKP4F052207H00MSSD,4Q_output_power_card,,±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4),Passives,Capacitors,kg,,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKP4J043307F00MSSD,inverter_power_card,,"3.3 µF, ±20%, 630VDC/280VAC, MKP4",Passives,Capacitors,kg,,NO,19,32,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKP4O141007E00MSSD,inverter_power_card,,"1 µF, ±20%, 1000VDC/400VAC, MKP4",Passives,Capacitors,kg,,NO,17,29,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKP4O141507G00MSSD,"filter_card, inverter_power_card",,±20% 1000VDC/400VAC Metallized Polypropylene Film Capacitor (MKP4),Passives,Capacitors,kg,,NO,20,39.5,41.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKS4F053307H00MSSD,4Q_power_card,,±20% 250VDC/160VAC Metallized Polyester Film Capacitor (MKS4),Passives,Capacitors,kg,,NO,41.5,24,45.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKX2AW41005I00MSSD,fuse_card,,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),Passives,Capacitors,kg,,NO,26.5,11,21,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKX2AW41006D00MSSD,"4Q_output_power_card, fuse_card",,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),Passives,Capacitors,kg,,NO,31.5,13,24,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKY22W14703F00MSSD,"filter_card, fuse_card, inverter_power_card",,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),Passives,Capacitors,kg,,NO,13,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WIMA,MKY22W21004B00MSSD,"filter_card, fuse_card, inverter_power_card",,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",Passives,Capacitors,kg,,NO,18,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
WURTH,7460305,"4Q_output_power_card, 4Q_power_card",,M5 Bush With Two Rows Pin-Plate,Electromechanical,Connectors,kg,0.004,YES,,,,,,,,,EcoInvent,"Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input
WURTH,7460305,"4Q_output_power_card, 4Q_power_card",,M5 Bush With Two Rows Pin-Plate,Electromechanical,Connectors,kg,0.004,YES,,,,,,,,,EcoInvent,"market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,Input
