Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
FISCHER ELEKTRONIK,FK 245 MI 247 O,contactor_card,,"TO-247 Heat Sink Rth: 20.2°C/W, Vertical Mount",Hardware,Thermal Management,kg,0.005,YES,,,,,,,,,EcoInvent,"market for copper, cathode + metal working, average for copper product manufacturing",kg,Input
GENERIC,CC1206_100NF_200V_10%_X7R,4Q_power_card,1206,±10% 200V X7R SMD Ceramic Chip Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100NF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card, contactor_card, fan_supervision_card, inverter_power_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100PF_50V_5%_NP0,"4Q_output_control_card, contactor_card",1206,±5% 50V C0G/NP0 SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_10NF_50V_10%_X7R,"4Q_output_control_card, contactor_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_1NF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card, contactor_card, fan_supervision_card, inverter_power_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_1UF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
Generic,CC1206_220PF_50V_5%_NP0,inverter_power_card,1206,"220 pF, ±5%, 50V, C0G/NP0, 1206",Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,"4Q_output_control_card, 4Q_power_card",E,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,Passives,Capacitors,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
Generic,CTE7343-43_10UF_35V_10%_LESR0200E,inverter_power_card,E,"10 µF, ±10%, 35V, Low ESR, Tantalum chip (7343 E)",Passives,Capacitors,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
Generic,R1206_0R_JUMPER,4Q_output_control_card,1206,2A (0.05R Max DC Resistance) Zero Ohm Jumper,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_100K_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_100R_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_10K_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_10R_1%_0.25W_200PPM,"4Q_output_control_card, 4Q_power_card, inverter_power_card",1206,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_1K_1%_0.25W_100PPM,"4Q_output_control_card, 4Q_power_card, contactor_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_1R_1%_0.25W_200PPM,4Q_power_card,1206,±1% 0.25W ±200ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_20K_1%_0.25W_100PPM,4Q_power_card,1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_20R_1%_0.25W_100PPM,inverter_power_card,1206,"20 Ω, 1%, 0.25W, 100 ppm/°C, 1206",Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_270K_0.1%_0.25W_25PPM,contactor_card,1206,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,R1206_2K_1%_0.25W_100PPM,"contactor_card, inverter_power_card",1206,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_30K_0.1%_0.25W_25PPM,contactor_card,1206,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resisto,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_33K_1%_0.25W_100PPM,contactor_card,1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_47K_1%_0.25W_100PPM,"4Q_power_card, inverter_power_card",1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
GENERIC,R1206_4K3_1%_0.25W_100PPM,contactor_card,1206,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,Passives,Resistors,kg,,NO,3.2,1.6,0.55,,3,4,0.003,,EcoInvent,"resistor production, surface-mounted",kg,Input
Generic,RMF_10K_1%_0.6W_50PPM_1016-630X250,4Q_output_power_card,,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,Passives,Resistors,kg,,NO,,,,0.03093,3,4,0.003,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input
Generic,RMF_47K_5%_3W_250PPM_2286-1670X520,filter_card,,±5% 3W ±250ppm/°C Leaded Power Metal Film Resistor,Passives,Resistors,kg,,NO,,,,0.35466,3,4,0.003,,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input
