Casing,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Ecoinvent_flow,Ecoinvent_unit,Direction,Database,Database_component_title
,Passives,Capacitors (mounted),kg,0.0340632,NO,19,32,41.5,,1.3,1.4,0,,"capacitor production, film type, for through-hole mounting",kg,Input,EcoInvent,
,Diodes and optoelectronics,Optoelectronics,kg,0.035,YES,,,,,,,,,light emitting diode production,kg,Input,EcoInvent,
,Control and signal management,Protection,kg,0.035,YES,,,,,,,,,light emitting diode production,kg,Input,EcoInvent,
,Passives,Capacitors (mounted),kg,0.04425975,NO,20,39.5,41.5,,1.3,1.4,0,,"capacitor production, film type, for through-hole mounting",kg,Input,EcoInvent,
,Passives,Capacitors (unmounted),kg,0.04425975,NO,20,39.5,41.5,,1.3,1.4,0,,"capacitor production, film type, for through-hole mounting",kg,Input,EcoInvent,
,Passives,Connectors,kg,0.0526,YES,,,,,,,,,"electric connector production, peripheral type buss",kg,Input,EcoInvent,
,Active,Inductor,kg,0.0827,YES,,,,,,,,,"transformer production, low voltage use",kg,Input,EcoInvent,"transformer production, low voltage use"
,Passives,Capacitors (mounted),kg,0.09804375,NO,35,41.5,50,,1.3,1.4,0,,"capacitor production, film type, for through-hole mounting",kg,Input,EcoInvent,
,Passives,Capacitors (mounted),kg,0.1403897,NO,,,,25.5254,5,6,0,,"capacitor production, electrolyte type, > 2cm height",kg,Input,EcoInvent,
,Control and signal management,Protection,kg,1.0018708e-05,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,"electronic component, passive, unspecified",kg,Input,EcoInvent,
,Passives,Test PINs,kg,8e-05,YES,,,,,,,,,"electronic component, passive, unspecified",kg,Input,EcoInvent,
,PCB,,m2,0.01,YES,100,100,,,,,,,"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,Input,EcoInvent,
,Assambly,,m2,0.01,YES,100,100,,,,,,,"mounting, through-hole technology, Pb-free solder",m2,Input,EcoInvent,
,PCB,,m2,0.0168,YES,160,105,,,,,,,"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,Input,EcoInvent,
,Assambly,,m2,0.0168,YES,160,105,,,,,,,"mounting, surface mount technology, Pb-free solder",m2,Input,EcoInvent,
,Assambly,,m2,0.0168,YES,160,105,,,,,,,"mounting, through-hole technology, Pb-free solder",m2,Input,EcoInvent,
,PCB,,m2,0.017,YES,170,100,,,,,,,"printed wiring board production, for power supply unit, desktop computer, Pb free",m2,Input,EcoInvent,
,Assambly,,m2,0.017,YES,170,100,,,,,,,"mounting, surface mount technology, Pb-free solder",m2,Input,EcoInvent,
,Assambly,,m2,0.017,YES,170,100,,,,,,,"mounting, through-hole technology, Pb-free solder",m2,Input,EcoInvent,
1206,Passives,Resistors,kg,0.0124161,NO,,,,3.5466,3,4,0.003,0,"resistor, metal film type, through-hole mounting",kg,Input,EcoInvent,
1206,Passives,Resistors,kg,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,"resistor production, surface-mounted",kg,Input,EcoInvent,0.105
1206,Passives,Capacitors (mounted),kg,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent,0.055-0.06
D2PAK,Auxiliary power supply,Voltage regulator,kg,0.000879514694,NO,10.29,9.65,4.83,,1.2,1.3,0.28,,"integrated circuit production, logic type",kg,Input,EcoInvent,0.8-0.9
DIP6 SMD,Control and signal management,ICs,kg,0.000427,YES,,,,,,,,,"electronic component production, active, unspecified",kg,Input,EcoInvent,0.1-0.12
DO-214AA,Diodes and optoelectronics,TVS Diodes,kg,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent,0.08-0.1
E,Passives,Capacitors (mounted),kg,0.0007078445,NO,7.3,4.3,4.1,,5,6,0,,"capacitor production, electrolyte type, < 2cm height",kg,Input,EcoInvent,0.7
SOD-80C,Diodes and optoelectronics,Zener Diodes,kg,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent,0.017
SOIC16,Control and signal management,ICs,kg,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,"integrated circuit production, logic type",kg,Input,EcoInvent,0.2-0.25
SOT23-3,Diodes and optoelectronics,Bipolar Transistors,kg,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent,0.008-0.012
STD10NF10T4,Small signal transistors,MOSFET,kg,0.0003279392,NO,6.6,6.2,2.3,,,1.2,0.215,,"transistor production, surface-mounted",kg,Input,EcoInvent,
TO-247,Power module,IGBT,kg,0.00542,YES,,,,,,,,,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,EcoInvent,Infineon IKW40N120H3
TO-247-2,Diodes and optoelectronics,,kg,0.00542,YES,,,,,,,,,,kg,Input,EcoInvent,
